#X	Y	T = 0	T = 0.025	T = 0.05	T = 0.075	T = 0.1	T = 0.125	T = 0.15	T = 0.175	T = 0.2	T = 0.225	T = 0.25	T = 0.275	T = 0.3	T = 0.325	T = 0.35	T = 0.375	T = 0.4	T = 0.425	T = 0.45	T = 0.475	T = 0.5	T = 0.525	T = 0.55	T = 0.575	T = 0.6	T = 0.625	T = 0.65	T = 0.675	T = 0.7	T = 0.725	T = 0.75	T = 0.775	T = 0.8	T = 0.825	T = 0.85	T = 0.875	T = 0.9	T = 0.925	T = 0.95	T = 0.975	T = 1
0.3	0.2	0	0.00439396	0.00949871	0.0142561	0.018292	0.0215307	0.0240193	0.0258491	0.0271202	0.027927	0.0283528	0.0284692	0.0283364	0.0280045	0.0275152	0.0269031	0.0261967	0.0254197	0.0245913	0.0237277	0.022842	0.021945	0.0210455	0.0201506	0.0192661	0.0183967	0.0175461	0.0167169	0.0159115	0.0151314	0.0143778	0.0136514	0.0129527	0.0122817	0.0116385	0.0110227	0.010434	0.00987178	0.00933553	0.00882453	0.00833803
0.3	0.3	0	0.00266734	0.00618734	0.0100046	0.0136993	0.0170266	0.0198739	0.0222118	0.0240585	0.0254555	0.026454	0.027107	0.0274649	0.027574	0.0274754	0.0272054	0.0267951	0.0262716	0.0256581	0.0249741	0.0242364	0.0234594	0.0226548	0.0218328	0.0210019	0.0201691	0.0193402	0.0185201	0.0177126	0.0169211	0.016148	0.0153953	0.0146646	0.013957	0.0132733	0.012614	0.0119794	0.0113695	0.0107843	0.0102235	0.00968671
0.3	0.4	0	0.00248456	0.00557414	0.00892367	0.012232	0.0152981	0.0180104	0.0203213	0.0222243	0.0237374	0.0248917	0.0257238	0.0262722	0.0265741	0.0266643	0.0265746	0.0263335	0.0259664	0.0254956	0.0249406	0.0243181	0.0236431	0.0229279	0.0221836	0.0214193	0.020643	0.0198614	0.0190801	0.0183039	0.0175367	0.0167819	0.016042	0.0153192	0.0146153	0.0139315	0.0132689	0.0126281	0.0120097	0.0114139	0.0108407	0.0102901
0.3	0.5	0	0.00248033	0.00544003	0.00856216	0.0115938	0.0143777	0.0168328	0.0189287	0.0206659	0.0220621	0.0231444	0.0239438	0.024492	0.0248197	0.0249562	0.0249281	0.0247596	0.0244725	0.0240862	0.0236178	0.0230825	0.0224935	0.0218624	0.0211992	0.0205127	0.0198103	0.0190986	0.0183831	0.0176685	0.0169589	0.0162574	0.0155671	0.0148901	0.0142284	0.0135834	0.0129564	0.0123483	0.0117596	0.011191	0.0106426	0.0101145
0.3	0.6	0	0.00233185	0.00507191	0.00791581	0.0106337	0.0130932	0.0152341	0.0170417	0.0185263	0.019711	0.0206242	0.0212955	0.021754	0.0220266	0.0221383	0.0221114	0.0219662	0.0217205	0.0213904	0.02099	0.0205317	0.0200265	0.019484	0.0189127	0.01832	0.0177121	0.0170946	0.0164724	0.0158495	0.0152295	0.0146154	0.0140096	0.0134142	0.0128311	0.0122617	0.011707	0.0111681	0.0106455	0.0101398	0.00965124	0.00918011
0.3	0.7	0	0.00197815	0.00429086	0.00667445	0.00893275	0.0109559	0.0126978	0.0141516	0.0153312	0.0162608	0.0169675	0.0174786	0.0178196	0.0180138	0.018082	0.0180423	0.0179111	0.0177023	0.0174285	0.0171006	0.016728	0.0163193	0.0158817	0.0154216	0.0149447	0.0144559	0.0139594	0.0134589	0.0129576	0.0124583	0.0119634	0.0114747	0.010994	0.0105227	0.010062	0.0096128	0.00917584	0.00875172	0.00834088	0.00794361	0.0075601
0.3	0.8	0	0.0014362	0.00311254	0.00483551	0.00646138	0.00791017	0.00914926	0.0101751	0.0109997	0.0116424	0.0121245	0.012467	0.0126895	0.0128094	0.0128419	0.0128004	0.0126963	0.0125397	0.0123393	0.0121024	0.0118357	0.0115448	0.0112347	0.0109096	0.0105733	0.0102291	0.00987983	0.00952801	0.00917575	0.00882491	0.00847709	0.00813363	0.00779569	0.00746424	0.00714007	0.00682384	0.00651609	0.00621721	0.00592752	0.00564724	0.00537653
0.3	0.9	0	0.000754906	0.00163558	0.00253982	0.0033917	0.00414895	0.00479444	0.00532653	0.00575193	0.00608117	0.00632597	0.00649777	0.00660712	0.00666342	0.00667483	0.00664844	0.0065903	0.00650563	0.00639889	0.00627393	0.00613407	0.00598218	0.00582074	0.00565193	0.00547761	0.00529942	0.00511879	0.00493695	0.00475498	0.00457379	0.0043942	0.00421686	0.00404238	0.00387123	0.00370381	0.00354047	0.00338146	0.003227	0.00307726	0.00293233	0.00279231
0.3	1	0	9.15893e-17	8.46711e-17	7.82755e-17	7.2363e-17	6.68971e-17	6.1844e-17	5.71726e-17	5.28541e-17	4.88618e-17	4.5171e-17	4.17591e-17	3.86048e-17	3.56888e-17	3.2993e-17	3.05009e-17	2.8197e-17	2.60672e-17	2.40982e-17	2.2278e-17	2.05952e-17	1.90395e-17	1.76014e-17	1.62719e-17	1.50428e-17	1.39065e-17	1.28561e-17	1.1885e-17	1.09873e-17	1.01574e-17	9.39014e-18	8.68085e-18	8.02515e-18	7.41897e-18	6.85858e-18	6.34052e-18	5.86159e-18	5.41884e-18	5.00953e-18	4.63113e-18	4.28132e-18

