X	Y	T = 0	T = 0.025	T = 0.05	T = 0.075	T = 0.1	T = 0.125	T = 0.15	T = 0.175	T = 0.2	T = 0.225	T = 0.25	T = 0.275	T = 0.3	T = 0.325	T = 0.35	T = 0.375	T = 0.4	T = 0.425	T = 0.45	T = 0.475	T = 0.5	T = 0.525	T = 0.55	T = 0.575	T = 0.6	T = 0.625	T = 0.65	T = 0.675	T = 0.7	T = 0.725	T = 0.75	T = 0.775	T = 0.8	T = 0.825	T = 0.85	T = 0.875	T = 0.9	T = 0.925	T = 0.95	T = 0.975	T = 1
0.2	0.6	0.559017	0.531751	0.506494	0.48228	0.458854	0.436188	0.414317	0.393279	0.373099	0.353788	0.335344	0.317754	0.301001	0.28506	0.269904	0.255506	0.241836	0.228863	0.216557	0.204888	0.193827	0.183346	0.173416	0.164011	0.155104	0.146672	0.13869	0.131135	0.123985	0.11722	0.11082	0.104765	0.099037	0.0936194	0.0884956	0.08365	0.0790678	0.0747349	0.070638	0.0667644	0.0631021
0.2	0.7	0.475528	0.451824	0.429867	0.408831	0.388515	0.368905	0.350029	0.331917	0.314583	0.298032	0.282255	0.267237	0.252959	0.239395	0.226521	0.214307	0.202726	0.19175	0.181351	0.171502	0.162175	0.153345	0.144988	0.137079	0.129595	0.122515	0.115817	0.109481	0.103489	0.0978217	0.0924627	0.0873952	0.0826037	0.0780734	0.0737902	0.0697409	0.0659129	0.0622942	0.0588734	0.0556398	0.0525833
0.2	0.8	0.345492	0.327673	0.311177	0.295482	0.280429	0.265981	0.252135	0.238892	0.226251	0.214205	0.202744	0.19185	0.181506	0.171692	0.162386	0.153567	0.145212	0.137301	0.129811	0.122723	0.116015	0.109669	0.103667	0.0979888	0.0926194	0.0875418	0.0827406	0.0782012	0.0739095	0.0698521	0.0660166	0.0623908	0.0589635	0.0557239	0.0526618	0.0497675	0.0470319	0.0444464	0.0420028	0.0396932	0.0375105
0.2	0.9	0.181636	0.171447	0.162389	0.153952	0.145954	0.138328	0.13105	0.124106	0.117491	0.111196	0.105213	0.0995305	0.0941391	0.0890269	0.0841824	0.0795935	0.0752485	0.0711358	0.0672439	0.0635619	0.0600789	0.0567849	0.0536699	0.0507244	0.0479396	0.0453069	0.042818	0.0404653	0.0382415	0.0361395	0.0341527	0.0322749	0.0305002	0.0288229	0.0272376	0.0257395	0.0243236	0.0229856	0.021721	0.020526	0.0193967
0.2	1	7.19806e-17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.3	0.1	0.25	0.250478	0.246111	0.239316	0.231263	0.222568	0.213581	0.204511	0.195496	0.186622	0.17795	0.169519	0.161355	0.153475	0.145889	0.138603	0.131615	0.124926	0.11853	0.112422	0.106595	0.101041	0.0957509	0.0907162	0.0859277	0.0813758	0.0770511	0.0729442	0.0690458	0.0653467	0.0618379	0.0585108	0.0553568	0.0523677	0.0495356	0.0468527	0.0443119	0.0419059	0.0396281	0.0374719	0.0354311
0.3	0.2	0.475528	0.45414	0.434663	0.416081	0.398036	0.380426	0.363245	0.346518	0.330279	0.314555	0.299368	0.284734	0.270658	0.257146	0.244193	0.231794	0.21994	0.20862	0.197819	0.187523	0.177715	0.168381	0.159501	0.151059	0.143038	0.13542	0.128188	0.121325	0.114815	0.108641	0.102788	0.0972404	0.0919839	0.0870042	0.0822878	0.0778215	0.0735928	0.0695898	0.0658008	0.062215	0.0588219
0.3	0.3	0.654508	0.62072	0.5897	0.560799	0.533545	0.507643	0.482913	0.45925	0.436587	0.41488	0.394096	0.374209	0.355195	0.337029	0.319689	0.303149	0.287385	0.272369	0.258077	0.244481	0.231555	0.219271	0.207604	0.196527	0.186014	0.17604	0.166581	0.157612	0.149111	0.141055	0.133423	0.126194	0.119348	0.112866	0.106729	0.10092	0.0954221	0.0902195	0.0852968	0.0806395	0.0762336
0.3	0.4	0.769421	0.728263	0.690111	0.654478	0.620963	0.589279	0.559222	0.530649	0.503453	0.477553	0.452885	0.429392	0.407024	0.385735	0.365482	0.346222	0.327916	0.310522	0.294002	0.278319	0.263435	0.249314	0.235922	0.223224	0.211188	0.199782	0.188975	0.178739	0.169045	0.159866	0.151175	0.142949	0.135163	0.127795	0.120824	0.114228	0.107987	0.102085	0.0965014	0.0912209	0.0862269
